,test_n,x,y,z
0,0,-89.21875,295.09375,425.8085610162914
1,0,-88.21875,295.03125,425.65513827345893
2,0,-25.09375,-234.96875,192.80217439150402
3,0,-88.21875,284.09375,400.42094138368776
4,0,-88.46875,295.03125,425.69703943811027
5,0,-89.09375,285.03125,403.4592807150128
6,0,-88.46875,295.03125,425.69703943811027
7,0,-88.21875,283.03125,395.9295009331767
8,0,423.78125,285.09375,386.26802832974613
9,0,-88.21875,257.03125,194.39228743349076
10,0,-88.21875,283.09375,396.2033270153864
11,0,-89.09375,277.03125,363.0625260008788
12,0,-89.21875,285.09375,403.6008951266555
13,0,-89.09375,260.09375,223.46820012108833
14,0,-88.09375,261.03125,234.83315146749428
15,0,-89.03125,285.09375,403.7468961554449
16,0,-120.21875,-232.96875,120.26271209706914
17,0,-88.46875,284.03125,399.9750684171966
18,0,-88.21875,283.03125,395.9295009331767
19,0,-88.21875,257.03125,194.39228743349076
20,0,-89.09375,285.03125,403.4592807150128
21,0,-88.21875,260.09375,225.36417136245183
22,0,423.78125,293.03125,224.85091114695132
23,0,486.90625,285.03125,361.186075144586
24,0,-88.46875,-234.96875,38.830803144881806
25,0,423.78125,289.03125,307.78210629589984
26,0,423.90625,260.09375,634.92797427148
27,0,423.90625,260.03125,634.8141225797871
28,0,-88.21875,-234.90625,39.25825835062961
29,0,-88.21875,-216.90625,183.01251917353815
30,0,-89.21875,295.03125,425.77195779900643
31,0,-88.21875,284.09375,400.42094138368776
32,0,486.78125,-234.96875,-191.0837544037689
33,0,486.90625,285.53125,369.8933014449224
34,0,-88.21875,-234.90625,39.25825835062961
35,0,423.78125,285.09375,386.26802832974613
36,0,-88.21875,-250.96875,-94.42844666583812
37,0,-88.09375,285.09375,404.41006186922743
38,0,-88.21875,-232.96875,56.226261599933075
39,0,-73.03125,285.09375,400.7822111358079
40,0,-88.21875,301.03125,422.68304169195176
41,0,486.90625,285.09375,362.2770006864211
42,0,-88.21875,-216.96875,182.6130787289182
43,0,-25.21875,285.09375,276.2946309844905
44,0,486.28125,285.09375,375.203867663922
45,0,-88.09375,277.03125,364.3810758913901
46,0,-88.21875,261.09375,235.17858402873645
47,0,-25.21875,277.09375,298.1335224348171
48,0,423.90625,260.03125,634.8141225797871
49,0,-73.03125,295.03125,408.1463675388898
50,1,-108.46875,-281.65625,-330.80667768722634
51,1,-236.40625,-409.65625,-206.89778218535645
52,1,-236.40625,-145.65625,-92.36640127027248
53,1,-108.46875,-283.65625,-333.5247861030823
54,1,-236.40625,-409.65625,-206.89778218535645
55,1,-237.40625,-409.65625,-214.2873514426621
56,1,-237.40625,-409.65625,-214.2873514426621
57,1,-236.40625,-409.65625,-206.89778218535645
58,1,-236.40625,-281.65625,213.93511857542217
59,1,-236.40625,-409.65625,-206.89778218535645
60,1,-236.46875,230.34375,-161.170566006612
61,1,-108.46875,-283.65625,-333.5247861030823
62,1,-238.40625,-409.65625,-221.23807804640708
63,1,-236.40625,-153.71875,-148.82300829824857
64,1,-236.40625,-409.65625,-206.89778218535645
65,1,-236.40625,-409.71875,-207.25227301971722
66,1,-238.40625,-409.65625,-221.23807804640708
67,1,-236.40625,-409.71875,-207.25227301971722
68,1,-236.40625,-409.65625,-206.89778218535645
69,1,-236.40625,-409.65625,-206.89778218535645
70,1,-236.46875,230.34375,-161.170566006612
71,1,-236.40625,-281.65625,213.93511857542217
72,1,-237.40625,-409.65625,-214.2873514426621
73,1,-172.46875,230.34375,-142.29090635084117
74,1,-236.46875,230.34375,-161.170566006612
75,1,-236.46875,-409.65625,-207.3721838501063
76,1,-236.40625,-409.65625,-206.89778218535645
77,1,-236.40625,-409.65625,-206.89778218535645
78,1,-236.40625,-409.65625,-206.89778218535645
79,1,-236.46875,230.34375,-161.170566006612
80,1,-236.46875,-283.65625,96.61731544652083
81,1,-236.15625,-409.65625,-204.9837030774181
82,1,-236.46875,230.34375,-161.170566006612
83,1,-108.46875,-267.65625,-268.6674398200191
84,1,-236.40625,-409.65625,-206.89778218535645
85,1,-238.46875,230.34375,-159.46562978967603
86,1,-238.46875,230.34375,-159.46562978967603
87,1,-238.15625,-413.65625,-242.18461483277878
88,1,-236.46875,-283.65625,96.61731544652083
89,1,-236.46875,-283.65625,96.61731544652083
90,1,-236.46875,-273.65625,-60.120520067419186
91,1,-238.46875,230.34375,-159.46562978967603
92,1,-238.40625,-409.65625,-221.23807804640708
93,1,-238.40625,-273.65625,-123.88418471705934
94,1,-108.46875,-281.65625,-330.80667768722634
95,1,-238.40625,-409.65625,-221.23807804640708
96,1,-238.46875,230.34375,-159.46562978967603
97,1,-236.46875,-283.65625,96.61731544652083
98,1,-252.40625,-27.65625,-161.64946424686724
99,1,-108.46875,-267.65625,-268.6674398200191
100,2,288.15625,-132.75,-51.13124762721114
101,2,494.40625,-131.75,448.1151107049595
102,2,492.40625,-132.75,444.7078008589195
103,2,510.40625,-2.25,-159.71187864572425
104,2,364.40625,-132.75,-287.88723426407154
105,2,288.40625,-2.75,-64.35013858246798
106,2,288.40625,-2.25,-69.72394377326461
107,2,352.40625,-2.25,307.01090238318443
108,2,488.40625,-2.25,-347.92576152509844
109,2,352.40625,-130.25,-334.89014863219927
110,2,288.40625,-130.25,-36.76282520377977
111,2,288.40625,-130.25,-36.76282520377977
112,2,480.40625,-2.25,-390.9070972546784
113,2,352.40625,-2.25,307.01090238318443
114,2,352.40625,-7.625,288.98239562888284
115,2,352.40625,-2.75,305.5620664771518
116,2,288.40625,-131.75,-46.14248534077021
117,2,494.40625,-2.75,-302.3759350403987
118,2,494.40625,-2.25,-305.89881078670055
119,2,492.40625,-132.75,444.7078008589195
120,2,494.40625,-2.25,-305.89881078670055
121,2,352.40625,-2.6875,305.7457873912089
122,2,494.40625,-4.75,-287.8949043573718
123,2,288.40625,-2.75,-64.35013858246798
124,2,352.40625,-7.625,288.98239562888284
125,2,492.40625,-130.25,463.84965044351753
126,2,494.40625,-131.75,448.1151107049595
127,2,494.40625,-4.75,-287.8949043573718
128,2,364.40625,-132.75,-287.88723426407154
129,2,352.40625,-2.25,307.01090238318443
130,2,494.40625,-2.25,-305.89881078670055
131,2,288.40625,-2.25,-69.72394377326461
132,2,488.40625,-132.75,451.76439205612087
133,2,352.40625,-2.25,307.01090238318443
134,2,352.40625,-2.75,305.5620664771518
135,2,494.40625,-2.25,-305.89881078670055
136,2,352.40625,-2.25,307.01090238318443
137,2,352.40625,-2.75,305.5620664771518
138,2,356.40625,-2.75,298.22420261213705
139,2,364.40625,-132.75,-287.88723426407154
140,2,494.40625,-2.75,-302.3759350403987
141,2,492.40625,-130.25,463.84965044351753
142,2,494.40625,-4.75,-287.8949043573718
143,2,288.40625,-131.75,-46.14248534077021
144,2,488.40625,-2.25,-347.92576152509844
145,2,492.375,-132.75,444.77599462139176
146,2,494.40625,-132.75,439.91845186115313
147,2,352.46875,-2.25,306.93976883476995
148,2,352.40625,-130.75,-331.00201694054425
149,2,492.40625,-132.75,444.7078008589195
150,3,321.03125,300.125,474.5998938534504
151,3,321.03125,332.125,46.02302333064125
152,3,-190.96875,40.125,-178.91392881697064
153,3,-190.96875,44.125,-248.32329180697207
154,3,-190.96875,332.125,161.88601708805862
155,3,-190.96875,44.125,-248.32329180697207
156,3,321.03125,300.125,474.5998938534504
157,3,-190.96875,334.0,174.46892566443896
158,3,-190.96875,332.125,161.88601708805862
159,3,-190.96875,332.125,161.88601708805862
160,3,-190.96875,300.125,-124.71673785642865
161,3,-190.96875,300.125,-124.71673785642865
162,3,-190.71875,300.125,-122.76302955224584
163,3,-190.96875,300.125,-124.71673785642865
164,3,-182.96875,44.125,-188.6103453191661
165,3,-190.96875,300.125,-124.71673785642865
166,3,-190.96875,40.125,-178.91392881697064
167,3,-190.46875,300.125,-120.80623456298878
168,3,-62.96875,332.125,128.73456648549356
169,3,-190.71875,300.125,-122.76302955224584
170,3,-190.46875,40.125,-180.5206336153295
171,3,-188.71875,300.125,-107.02627601650951
172,3,-182.96875,44.125,-188.6103453191661
173,3,-190.96875,300.625,-119.9606904817994
174,3,-182.96875,44.125,-188.6103453191661
175,3,-190.96875,40.15625,-179.479455981329
176,3,-190.46875,300.125,-120.80623456298878
177,3,-182.96875,44.125,-188.6103453191661
178,3,-190.96875,40.125,-178.91392881697064
179,3,321.03125,44.125,-152.42391732783523
180,3,-190.96875,300.125,-124.71673785642865
181,3,-190.71875,300.125,-122.76302955224584
182,3,321.03125,332.125,46.02302333064125
183,3,-190.71875,300.125,-122.76302955224584
184,3,-190.71875,300.125,-122.76302955224584
185,3,321.03125,44.125,-152.42391732783523
186,3,-190.96875,40.125,-178.91392881697064
187,3,-182.96875,44.125,-188.6103453191661
188,3,-190.5,300.625,-116.31844625909359
189,3,-190.46875,300.125,-120.80623456298878
190,3,-62.96875,300.125,368.7498020134295
191,3,-190.46875,300.125,-120.80623456298878
192,3,-190.71875,300.375,-120.39337268038713
193,3,321.03125,332.125,46.02302333064125
194,3,321.03125,44.125,-152.42391732783523
195,3,-190.96875,44.125,-248.32329180697207
196,3,-190.96875,40.125,-178.91392881697064
197,3,-190.46875,332.125,162.93548779578288
198,3,-190.96875,168.125,398.89104138049333
199,3,-190.96875,300.125,-124.71673785642865
200,4,483.8125,-459.1875,673.3030050578421
201,4,497.8125,-463.4375,613.469232001811
202,4,483.5625,-459.4375,678.3960129708178
203,4,273.8125,-459.4375,-560.143737867995
204,4,481.8125,-459.4375,689.7001483779406
205,4,497.8125,-463.4375,613.469232001811
206,4,-238.1875,-463.3125,-212.0941586505997
207,4,481.8125,-459.1875,686.2842305162778
208,4,497.8125,-399.4375,144.87374657670185
209,4,483.5625,-459.4375,678.3960129708178
210,4,481.8125,-399.4375,-44.01348521537204
211,4,483.5625,-459.6875,681.7937753204831
212,4,483.5625,-459.4375,678.3960129708178
213,4,483.5625,-459.4375,678.3960129708178
214,4,481.8125,-459.4375,689.7001483779406
215,4,-238.1875,-459.1875,-219.97613932668767
216,4,481.8125,-459.4375,689.7001483779406
217,4,481.8125,-459.1875,686.2842305162778
218,4,481.8125,-463.1875,737.6874799559241
219,4,483.5625,-391.1875,9.900192806871388
220,4,481.8125,-463.4375,740.6573132816616
221,4,-238.1875,-463.4375,-211.87756206176104
222,4,-236.4375,-459.4375,-204.3513893666519
223,4,497.8125,-459.1875,559.0163255473509
224,4,481.8125,-463.9375,746.5062172573598
225,4,481.8125,-463.4375,740.6573132816616
226,4,-238.1875,-459.4375,-219.46108689798535
227,4,481.8125,-459.1875,686.2842305162778
228,4,481.8125,-463.4375,740.6573132816616
229,4,481.8125,-459.1875,686.2842305162778
230,4,481.8125,-463.4375,740.6573132816616
231,4,481.8125,-455.1875,628.3759455325301
232,4,497.8125,-463.4375,613.469232001811
233,4,-238.1875,-459.1875,-219.97613932668767
234,4,481.5625,-455.1875,629.9358235370303
235,4,497.8125,-463.9375,619.5203750468193
236,4,241.8125,-399.6875,328.88306927812283
237,4,481.8125,-459.1875,686.2842305162778
238,4,481.8125,-463.4375,740.6573132816616
239,4,451.5625,-399.4375,-304.38085382939846
240,4,481.8125,-453.1875,597.3815202106321
241,4,497.8125,-459.1875,559.0163255473509
242,4,-28.4375,-459.4375,420.38018070976295
243,4,419.5625,-459.4375,636.8717585655386
244,4,481.8125,-463.4375,740.6573132816616
245,4,241.8125,-455.1875,-471.9610837046737
246,4,483.5625,-459.4375,678.3960129708178
247,4,241.8125,-399.4375,332.22850808441865
248,4,-238.1875,-459.1875,-219.97613932668767
249,4,497.8125,-459.1875,559.0163255473509
250,5,-421.5,23.96875,-35.906515493486076
251,5,-295.28125,-488.0625,-476.57152317825205
252,5,-299.40625,-488.03125,-509.69512446847114
253,5,-295.28125,-488.0625,-476.57152317825205
254,5,-299.15625,-488.03125,-507.8266847424817
255,5,-299.15625,407.96875,663.4905560690479
256,5,-299.03125,-488.03125,-506.88651939869294
257,5,-297.15625,-488.03125,-492.3407514926466
258,5,-299.40625,407.9375,663.2132090366313
259,5,-485.15625,-488.0625,543.9929847895705
260,5,-421.15625,-488.03125,-238.35271058027877
261,5,-293.15625,-488.0625,-458.5649819414675
262,5,-293.15625,-488.0625,-458.5649819414675
263,5,-421.15625,-488.0625,-238.4600651304367
264,5,-295.28125,-488.03125,-477.0674541118069
265,5,-421.15625,-488.0625,-238.4600651304367
266,5,-295.28125,-424.03125,-188.31683795896754
267,5,-299.28125,-488.03125,-508.7629014597812
268,5,-295.28125,-424.03125,-188.31683795896754
269,5,-295.28125,-488.0625,-476.57152317825205
270,5,-421.03125,-488.0625,-240.25878692941444
271,5,-421.15625,-488.03125,-238.35271058027877
272,5,-293.15625,-488.0625,-458.5649819414675
273,5,-295.28125,-424.03125,-188.31683795896754
274,5,-295.28125,-488.03125,-477.0674541118069
275,5,-421.15625,-488.0625,-238.4600651304367
276,5,-269.15625,-488.0625,-261.28663557349654
277,5,-315.40625,407.9375,611.1227021938548
278,5,-421.03125,-488.0625,-240.25878692941444
279,5,-417.03125,-488.0625,-256.61476493581165
280,5,-295.28125,-424.03125,-188.31683795896754
281,5,-359.28125,-488.03125,38.323086385768164
282,5,-299.40625,-488.0625,-509.2169303402401
283,5,-299.15625,-488.0625,-507.34706740841494
284,5,-299.40625,-488.03125,-509.69512446847114
285,5,-421.15625,-488.03125,-238.35271058027877
286,5,-293.15625,-504.0625,-175.5878360335316
287,5,-423.28125,-488.09375,-194.87705402120156
288,5,-295.34375,-488.03125,-477.58671033225255
289,5,-421.15625,-488.03125,-238.35271058027877
290,5,-421.15625,-488.03125,-238.35271058027877
291,5,-293.15625,-488.03125,-459.06534446929817
292,5,-299.40625,407.9375,663.2132090366313
293,5,-293.15625,-488.03125,-459.06534446929817
294,5,-299.28125,-488.03125,-508.7629014597812
295,5,-295.28125,-488.0625,-476.57152317825205
296,5,-299.28125,-488.03125,-508.7629014597812
297,5,-295.28125,-488.03125,-477.0674541118069
298,5,-299.40625,407.9375,663.2132090366313
299,5,-293.15625,-488.03125,-459.06534446929817
300,6,-152.4375,81.875,-239.8523657061638
301,6,-408.4375,81.875,-466.3516362455866
302,6,-152.90625,83.875,-255.0722604464084
303,6,-152.6875,83.875,-254.8966632401973
304,6,-408.90625,85.875,-501.5090668343902
305,6,-408.6875,83.875,-484.79089626334223
306,6,-282.6875,81.875,329.11730365358
307,6,-408.90625,85.875,-501.5090668343902
308,6,-152.4375,65.625,-54.814979226055655
309,6,-408.9375,85.9375,-502.0312372165753
310,6,-408.9375,81.875,-467.0645232284114
311,6,-152.4375,65.875,-58.0021421806681
312,6,-152.4375,65.5,-53.22466038682619
313,6,-152.4375,65.875,-58.0021421806681
314,6,-408.9375,83.875,-485.11200313196923
315,6,-410.9375,65.875,-298.6432864844721
316,6,-410.6875,81.625,-466.79150629708295
317,6,-408.9375,85.8125,-501.05968033746507
318,6,-408.4375,81.625,-463.9858280694868
319,6,103.09375,81.875,-1.8515013112084944
320,6,-152.90625,83.625,-253.33647021660755
321,6,-280.4375,81.875,304.38568042844906
322,6,103.09375,81.875,-1.8515013112084944
323,6,-152.6875,81.875,-239.99028142911783
324,6,-152.4375,65.875,-58.0021421806681
325,6,-408.9375,65.9375,-292.12192029998306
326,6,-408.78125,83.875,-484.91308947093364
327,6,-152.4375,81.875,-239.8523657061638
328,6,-408.65625,81.875,-466.6704944337763
329,6,-408.9375,85.875,-501.5463682142282
330,6,103.0625,65.625,-32.49979510937668
331,6,-154.65625,113.875,-181.9963619721395
332,6,-408.9375,65.625,-288.503064225253
333,6,-154.6875,81.875,-240.56727283075475
334,6,-154.65625,81.875,-240.5655076920491
335,6,-402.65625,81.875,-453.9787431852847
336,6,-152.4375,65.5,-53.22466038682619
337,6,103.0625,81.875,-1.9457645885569264
338,6,-152.4375,83.875,-254.6817489243287
339,6,-408.65625,81.875,-466.6704944337763
340,6,-408.9375,65.625,-288.503064225253
341,6,-152.4375,85.875,-266.96784702316177
342,6,-184.4375,81.875,-139.04338442433078
343,6,-474.6875,81.875,-146.50152796937226
344,6,-152.4375,81.875,-239.8523657061638
345,6,-152.4375,81.875,-239.8523657061638
346,6,103.09375,85.875,-36.99791424910494
347,6,103.0625,81.875,-1.9457645885569264
348,6,-408.9375,85.875,-501.5463682142282
349,6,-152.4375,83.875,-254.6817489243287
350,7,-309.5625,-455.46875,-556.433839481863
351,7,-53.5625,-455.90625,367.7571933329414
352,7,-317.53125,-463.90625,-543.0629321145439
353,7,-505.5625,-463.90625,287.39509798687544
354,7,-309.5625,-327.90625,4.44360930805891
355,7,-309.5625,-327.46875,13.059557458144809
356,7,-305.5625,-455.90625,-611.2891880497672
357,7,-305.5625,-455.90625,-611.2891880497672
358,7,-277.0625,-461.90625,-618.2709473388879
359,7,-309.5625,-455.90625,-562.0703942788828
360,7,-305.5625,-455.46875,-606.4537627861043
361,7,-309.5625,-455.46875,-556.433839481863
362,7,-181.5625,-455.15625,-27.738414266123314
363,7,-309.5625,-327.21875,18.121137038054144
364,7,-53.5625,-455.90625,367.7571933329414
365,7,-305.5625,-463.90625,-673.5017401966254
366,7,-309.5625,-327.15625,19.40163309909383
367,7,-305.53125,-463.90625,-673.7084944378659
368,7,206.46875,-463.90625,-344.63445696205264
369,7,-309.5625,-455.46875,-556.433839481863
370,7,-305.5625,-327.90625,-37.62390316094877
371,7,206.4375,-463.90625,-344.4351334486122
372,7,-305.5625,-455.46875,-606.4537627861043
373,7,-49.5625,-327.90625,-251.34171384848344
374,7,206.46875,-463.78125,-344.62475835102185
375,7,-305.5625,-327.90625,-37.62390316094877
376,7,-309.5625,-455.90625,-562.0703942788828
377,7,-309.5625,-327.15625,19.40163309909383
378,7,-53.0625,-461.90625,353.8632210971001
379,7,-53.5625,-455.90625,367.7571933329414
380,7,-277.5625,-327.90625,548.6863051554394
381,7,-49.5625,-327.90625,-251.34171384848344
382,7,-309.5625,-327.46875,13.059557458144809
383,7,-309.5625,-455.46875,-556.433839481863
384,7,-305.5625,-327.46875,-33.240099963572106
385,7,-309.625,-461.90625,-625.2357336560145
386,7,-53.0625,-463.90625,346.8398934638617
387,7,-277.5625,-323.15625,533.0569666403071
388,7,-309.5625,-327.90625,4.44360930805891
389,7,-305.625,-327.90625,-37.28027698309808
390,7,-277.5625,-323.15625,533.0569666403071
391,7,-49.5625,-327.90625,-251.34171384848344
392,7,-309.5625,-327.40625,14.315771795555037
393,7,-305.5625,-455.15625,-602.914350095888
394,7,-305.5625,-327.46875,-33.240099963572106
395,7,-309.5625,-463.78125,-640.2897291178741
396,7,-309.5625,-327.90625,4.44360930805891
397,7,-305.5625,-343.90625,270.46516310492046
398,7,206.46875,-463.90625,-344.63445696205264
399,7,-309.5625,-327.90625,4.44360930805891
400,8,-435.96875,363.1875,-712.0443329793943
401,8,-435.96875,-148.8125,-318.91402288490053
402,8,-434.0,363.1875,-704.0265985968047
403,8,-435.96875,363.1875,-712.0443329793943
404,8,-435.96875,363.1875,-712.0443329793943
405,8,-434.0,363.1875,-704.0265985968047
406,8,-434.0,363.1875,-704.0265985968047
407,8,-434.0,363.1875,-704.0265985968047
408,8,-434.0,363.1875,-704.0265985968047
409,8,-434.0,363.1875,-704.0265985968047
410,8,-435.96875,363.125,-711.4118768110593
411,8,-434.0,363.1875,-704.0265985968047
412,8,-435.96875,363.1875,-712.0443329793943
413,8,-434.0,363.1875,-704.0265985968047
